to purchase ,приобрет<span style='color: blue;'>а</span>ть 
ruler ,лин<span style='color: blue;'>е</span>йка 
eraser ,л<span style='color: blue;'>а</span>стик 
marker ,флом<span style='color: blue;'>а</span>стер 
subscription ,подп<span style='color: blue;'>и</span>ска 
оте́ц ,б<span style='color: blue;'>а</span>тя (сленг
construction ,стр<span style='color: blue;'>о</span>йка 
to hit the target,поп<span style='color: blue;'>а</span>сть в цель 
how did you get there?,как ты сюда поп<span style='color: blue;'>а</span>л? 
I'm screwed!,ну, я поп<span style='color: blue;'>а</span>л! 
другой ,ин<span style='color: blue;'>о</span>й 
public transport ,общ<span style='color: blue;'>е</span>ственный тра́нспорт 
назад,обр<span style='color: blue;'>а</span>тно 
it's foreign to me,это чуж<span style='color: blue;'>о</span>е для меня 
it's a completely another case,это совсем другое дело 
