we will go (пешком),мы пойдём 
we will go (на транспорте),мы пое́дем 
to celebrate New Year ,встреча́ть новый год 
crab ,краб 
tribe ,пле́мя 
ruler,прави́тель 
youth ,мо́лодость 
mess,беспоря́док 
chaos ,х<span style='color: blue;'>а</span>ос 
marriage/defective product ,брак 
to nitpick,придир<span style='color: blue;'>а</span>ться 
picky,прид<span style='color: blue;'>и</span>рчивый 
atheist ,ате<span style='color: blue;'>и</span>ст 
curse ,прокл<span style='color: blue;'>я</span>тье 
old man (иногда это может быть грубо),стар<span style='color: blue;'>и</span>к 
