sell ,клEтка 
I'm happy with your progress (dative case),я рад прогр<span style='color: blue;'>е</span>ссу 
I want to see you off at the airport ,я хочу тебя провод<span style='color: blue;'>и</span>ть в аэропо́рт 
fashion ,мо́да 
fashionable ,мо́дный 
it's  fair ,это справедл<span style='color: blue;'>и</span>во 
to blame,обвин<span style='color: blue;'>я</span>ть 
mature ,зр<span style='color: blue;'>е</span>лый 
genius ,г<span style='color: blue;'>е</span>ний 
to publish a book,изд<span style='color: blue;'>а</span>ть книгу 
manuscript ,р<span style='color: blue;'>у</span>копись 
keep your documents on you,держи документы при себе 
to yank/to disturb ,дёргать 
to disturb ,беспок<span style='color: blue;'>о</span>ить 
не волнуйся!,не беспок<span style='color: blue;'>о</span>йся! 
