ripe,сп<span style='color: blue;'>е</span>лый 
cherry,в<span style='color: blue;'>и</span>шня 
it shows,это пок<span style='color: blue;'>а</span>зывает 
smell,з<span style='color: blue;'>а</span>пах 
it smells good,это п<span style='color: blue;'>а</span>хнет хорошо 
it stinks ,это вон<span style='color: blue;'>я</span>ет 
cardboard ,карт<span style='color: blue;'>о</span>н 
ham,ве(т)чин<span style='color: blue;'>а</span> 
slim (человек),худ<span style='color: blue;'>о</span>й 
hebrew,евр<span style='color: blue;'>е</span>й 
chin ,подбор<span style='color: blue;'>о</span>док 
to squint ,прищ<span style='color: blue;'>у</span>риться 
long time no see (русское выражение, которое буквально значит "how many summers, how many winters"),сколько лет, сколько зим 
misprint ,опеч<span style='color: blue;'>а</span>тка 
to type,печ<span style='color: blue;'>а</span>тать 
