nickname ,кл<span style='color: blue;'>и</span>чка 
I prefer,я предпочит<span style='color: blue;'>а</span>ю 
in the nineties ,в девян<span style='color: blue;'>о</span>стых 
building ,зд<span style='color: blue;'>а</span>ние 
We want,мы хот<span style='color: blue;'>и</span>м 
You want (formal),вы хот<span style='color: blue;'>и</span>те 
They want ,они хот<span style='color: blue;'>я</span>т 
charger,зар<span style='color: blue;'>я</span>дник 
to charge ,заряд<span style='color: blue;'>и</span>ть 
anyway,в люб<span style='color: blue;'>о</span>м случае 
crazy,сума(с)шедший 
to disappear (perfective),исч<span style='color: blue;'>е</span>знуть 
