mug,кр<span style='color: blue;'>у</span>жка 
200,дв<span style='color: blue;'>е</span>сти 
300,тр<span style='color: blue;'>и</span>ста 
400,чет<span style='color: blue;'>ы</span>реста 
season ticket,абонемент 
season ticket (для транспорта),проездн<span style='color: blue;'>о</span>й 
hangover ,похм<span style='color: blue;'>е</span>лье 
however ,одн<span style='color: blue;'>а</span>ко 
nevertheless ,тем не м<span style='color: blue;'>е</span>нее 
I'm lucky ,мне везЁт 
staff member ,раб<span style='color: blue;'>о</span>тник = сотрудник 
to appear,появ<span style='color: blue;'>и</span>ться 
