leaf/sheet,лист<span style='color: blue;'>о</span>к 
leaves,л<span style='color: blue;'>и</span>стья 
to pick mushrooms,собир<span style='color: blue;'>а</span>ть грибы 
the phone is dead,телефон разряд<span style='color: blue;'>и</span>лся/телефон разря́жен 
owl,сов<span style='color: blue;'>а</span> 
glue,кл<span style='color: blue;'>е</span>й 
to glue (imperfective),кл<span style='color: blue;'>е</span>ить 
garbage,м<span style='color: blue;'>у</span>сор 
branch/twig/subway line ,в<span style='color: blue;'>е</span>тка 
pharmacy,апт<span style='color: blue;'>е</span>ка 
medicine,лек<span style='color: blue;'>а</span>рство 
to hang (perfective),пов<span style='color: blue;'>е</span>сить 
