through ,ч<span style='color: blue;'>е</span>рез 
amount,кол<span style='color: blue;'>и</span>чество 
explosion,взр<span style='color: blue;'>ы</span>в 
to explode (perfective),взорв<span style='color: blue;'>а</span>ть 
power/force,с<span style='color: blue;'>и</span>ла 
I will be able to,я смог<span style='color: blue;'>у</span> 
dust,пыль 
to suck (imperfective),сос<span style='color: blue;'>а</span>ть 
vacuum,пылес<span style='color: blue;'>о</span>с 
to vacuum (imperfective),пылес<span style='color: blue;'>о</span>сить 
weight ,вес 
scales,вес<span style='color: blue;'>ы</span> 
to weigh oneself/pesarse,взв<span style='color: blue;'>е</span>ситься 
to support (imperfective),подд<span style='color: blue;'>е</span>рживать 
to stand up (perfective),вст<span style='color: blue;'>а</span>ть 
