it's clear,<span style='color: blue;'>я</span>сно 
chalk,мел 
at what time do you want to do class?,во сколько ты хочешь сделать урок? 
to bring (imperfective),принос<span style='color: blue;'>и</span>ть 
truck,грузов<span style='color: blue;'>и</span>к 
curtains,занав<span style='color: blue;'>е</span>ски 
I will take,я возьм<span style='color: blue;'>у</span> 
fat/thick,т<span style='color: blue;'>о</span>лстый 
speed,ск<span style='color: blue;'>о</span>рость 
to subscribe to a channel ,подпис<span style='color: blue;'>а</span>ться на канал 
subscriber ,подп<span style='color: blue;'>и</span>счик 
How is this word spelled?,как п<span style='color: blue;'>и</span>шется это слово? 
it's confusing ,это смущ<span style='color: blue;'>а</span>ет 
to give up,сдав<span style='color: blue;'>а</span>ться 
I give up,я сда<span style='color: blue;'>ю</span>сь 
