fog ,тум<span style='color: blue;'>а</span>н 
to melt,раст<span style='color: blue;'>а</span>ять 
it's humid,вл<span style='color: blue;'>а</span>жно 
it's dry,с<span style='color: blue;'>у</span>хо 
witch ,в<span style='color: blue;'>е</span>дьма 
textbook,уч<span style='color: blue;'>е</span>бник 
since/because they have it (if you want to use "because" at the beginning of the phrase),так как у них есть это 
if I'm not wrong ,если я не ошиб<span style='color: blue;'>а</span>юсь 
today it's the 1st of December ,сегодня пЕрвое декабрЯ 
I will go to Mexico city on the 6th of December ,Я поеду в мЕхико шестОго декабрЯ 
to arrive,приб<span style='color: blue;'>ы</span>ть 
to fight,сраж<span style='color: blue;'>а</span>ться 
glass (material) ,стекл<span style='color: blue;'>о</span> 
a broom,метл<span style='color: blue;'>а</span> 
local resident,м<span style='color: blue;'>е</span>с(т)ный житель 
