sticky ,л<span style='color: blue;'>и</span>пкий 
eternity ,в<span style='color: blue;'>е</span>чность 
How many classes do we have left?,сколько уроков у нас ост<span style='color: blue;'>а</span>лось? 
forever ,навсегд<span style='color: blue;'>а</span> 
to get stuck,застр<span style='color: blue;'>я</span>ть 
to chase,преслEдовaть 
to rescue ,спас<span style='color: blue;'>а</span>ть 
as soon as possible ,как можно скор<span style='color: blue;'>е</span>е 
зA ,из
I'm able to/I have success ,у меня получ<span style='color: blue;'>а</span>ется 
I was able to/I had success,у меня получ<span style='color: blue;'>и</span>лось 
I will be able to/I will have success ,у меня пол<span style='color: blue;'>у</span>чится 
button (on clothes),п<span style='color: blue;'>у</span>говица 
button (electronic thing),кн<span style='color: blue;'>о</span>пка 
like this,вот так 
