Christmas tree,Ёлка 
Santa Claus ,дед мор<span style='color: blue;'>о</span>з 
freezer ,мороз<span style='color: blue;'>и</span>льник 
Christmas ornament,Ёлочная игрушка 
true friend,насто<span style='color: blue;'>я</span>щий друг 
I liked the movie (masculine),мне понр<span style='color: blue;'>а</span>вился фильм 
I liked the book (feminine),мне понр<span style='color: blue;'>а</span>вилась книга 
нибудь ,с кEм
to attack,нап<span style='color: blue;'>а</span>дать 
to feed,корм<span style='color: blue;'>и</span>ть 
kibble ,корм 
I celebrate,я пр<span style='color: blue;'>а</span>з(д)ную 
star wars,звёз(д)ные в<span style='color: blue;'>о</span>йны 
review,<span style='color: blue;'>о</span>тзыв 
choir,хор 
