hose ,шланг 
to water ,полив<span style='color: blue;'>а</span>ть 
fortunately ,к сч<span style='color: blue;'>а</span>стью 
sticker,накл<span style='color: blue;'>е</span>йка; стикер 
female seller,продавщ<span style='color: blue;'>и</span>ца 
explanation ,объясн<span style='color: blue;'>е</span>ние 
lighter ,зажиг<span style='color: blue;'>а</span>лка 
to blow out the candles ,зад<span style='color: blue;'>у</span>ть све́чки 
to inflate/to fool someone ,над<span style='color: blue;'>у</span>ть 
to save up money ,коп<span style='color: blue;'>и</span>ть деньги 
piggy bank ,коп<span style='color: blue;'>и</span>лка 
to press the button ,наж<span style='color: blue;'>а</span>ть на кно́пку 
neuter (gender) ,ср<span style='color: blue;'>е</span>дний род 
masculine (gender) ,мужск<span style='color: blue;'>о</span>й род 
feminine (gender),ж<span style='color: blue;'>е</span>нский род 
