more expensive ,дор<span style='color: blue;'>о</span>же 
to bring (imperfective) (на транспорте),привоз<span style='color: blue;'>и</span>ть 
to bring (perfective) (на транспорте),привезт<span style='color: blue;'>и</span> 
to pay attention ,обрат<span style='color: blue;'>и</span>ть внима́ние 
a dispute,спор 
dick (МАТ),хуй 
cabinet, cupboard,шк<span style='color: blue;'>а</span>фчик 
to install (perfective),установ<span style='color: blue;'>и</span>ть 
to warn (perfective),предупред<span style='color: blue;'>и</span>ть 
to warn (imperfective),предупрежд<span style='color: blue;'>а</span>ть 
warning,предупрежд<span style='color: blue;'>е</span>ние 
lakes ,озёра 
to produce,производ<span style='color: blue;'>и</span>ть 
draft beer,разливн<span style='color: blue;'>о</span>е пиво 
coconut,кок<span style='color: blue;'>о</span>с 
