luggage ,баг<span style='color: blue;'>а</span>ж 
plot ,сюж<span style='color: blue;'>е</span>т 
businesslike ,делов<span style='color: blue;'>о</span>й 
pale ,бл<span style='color: blue;'>е</span>дный 
passenger ,пассаж<span style='color: blue;'>и</span>р 
dawn ,рассв<span style='color: blue;'>е</span>т 
step ,шаг 
wet, raw ,сыр<span style='color: blue;'>о</span>й 
a smoke ,дым 
vapor/steam ,пар 
railroad ,жел<span style='color: blue;'>е</span>зная доро́га 
iron ,жел<span style='color: blue;'>е</span>зо 
hiding (clandestinidad) ,подп<span style='color: blue;'>о</span>лье 
fragment of the book/poem ,отр<span style='color: blue;'>ы</span>вок 
changing,измен<span style='color: blue;'>е</span>ние 
