to pay,плат<span style='color: blue;'>и</span>ть 
to cry,пл<span style='color: blue;'>а</span>кать 
I pay,я плач<span style='color: blue;'>у</span> 
I cry ,я пл<span style='color: blue;'>а</span>чу 
body,т<span style='color: blue;'>е</span>ло 
health,здор<span style='color: blue;'>о</span>вье 
God ,<span style='color: blue;'>б</span>ог 
local,м<span style='color: blue;'>е</span>с(т)ный 
family,семь<span style='color: blue;'>я</span> 
relative ,р<span style='color: blue;'>о</span>дственник 
way, method,сп<span style='color: blue;'>о</span>соб 
спасибо,благодар<span style='color: blue;'>ю</span> 
due to you (dative case),благодар<span style='color: blue;'>я</span> тебе 
flight ,рейс 
completely,п<span style='color: blue;'>о</span>лностью 
