shoelaces ,шнурки́ 
shoelace ,шнур<span style='color: blue;'>о</span>к 
to tie shoelaces ,завяз<span style='color: blue;'>а</span>ть шнурки́ 
to untie shoelaces ,развяз<span style='color: blue;'>а</span>ть шнурки́ 
check to the king ,шах корол<span style='color: blue;'>ю</span> 
event/occasion ,соб<span style='color: blue;'>ы</span>тие 
a defeat ,прОигрыш = порвжЕние 
to bury ,похорон<span style='color: blue;'>и</span>ть 
idol ,кум<span style='color: blue;'>и</span>р 
a struggle ,борьб<span style='color: blue;'>а</span> 
to struggle ,бор<span style='color: blue;'>о</span>ться 
снова ,вновь 
miracle ,ч<span style='color: blue;'>у</span>до 
salvation ,спас<span style='color: blue;'>е</span>ние 
extra/redundant,л<span style='color: blue;'>и</span>шний 
