fireworks ,сал<span style='color: blue;'>ю</span>т 
fireworks ,фейерв<span style='color: blue;'>е</span>рки 
amazing,удив<span style='color: blue;'>и</span>тельный 
to conquer ,завоев<span style='color: blue;'>а</span>ть 
to respect the rules,соблюд<span style='color: blue;'>а</span>ть пра́вила 
to break the rules ,наруш<span style='color: blue;'>а</span>ть пра́вила 
silence,тишин<span style='color: blue;'>а</span> 
parcel/package,пос<span style='color: blue;'>ы</span>лка 
court,суд 
judge,судь<span style='color: blue;'>я</span> 
to admit,призн<span style='color: blue;'>а</span>ть 
scammer,мош<span style='color: blue;'>е</span>нник 
peninsula ,полу<span style='color: blue;'>о</span>стров 
pants,штан<span style='color: blue;'>ы</span> 
Mexican,мексик<span style='color: blue;'>а</span>нец 
