higher ,в<span style='color: blue;'>ы</span>ше 
blond,блонд<span style='color: blue;'>и</span>н 
they will say ,они ск<span style='color: blue;'>а</span>жут 
thick forest ,густ<span style='color: blue;'>о</span>й лес 
skin,к<span style='color: blue;'>о</span>жа 
sharp,<span style='color: blue;'>о</span>стрый 
disease ,бол<span style='color: blue;'>е</span>знь 
blue (dark),с<span style='color: blue;'>и</span>ний 
skinny,т<span style='color: blue;'>о</span>щий 
to chat ,болт<span style='color: blue;'>а</span>ть 
to include,включ<span style='color: blue;'>а</span>ть 
to exclude,исключ<span style='color: blue;'>а</span>ть 
sole,под<span style='color: blue;'>о</span>шва 
advanced leval,продв<span style='color: blue;'>и</span>нутый у́ровень 
knot,у́зел; узел<span style='color: blue;'>о</span>к 
